actual_virtual_flash_count,agent_id,api_latency_max_ms,api_latency_mean_ms,api_request_count,api_success_count,background_brightness,calibration_assignment_method,calibration_valid,capture_frame_count,category,condition,count_absolute_error,count_recall,detected_frequency_estimate_hz,detected_rising_edge_count,failure_interpretation,flash_brightness,frequency_absolute_error_hz,group,intended_difficulty,normalized_signal_max,normalized_signal_mean,normalized_signal_min,normalized_signal_std,off_brightness,pass_repeat_agent,processing_fps,raw_signal_max,raw_signal_mean,raw_signal_min,raw_signal_range,raw_signal_std,repeat,repeat_dir,requested_frequency_hz,required_for_ready,roi_overlap_ratio,row_type,v0_position_xy,v0_size_px,v1_position_xy,v1_size_px,warnings
30,V0,12.834,9.802,11,11,0,frequency_based,True,885,baseline,baseline,1,0.966667,0.999784,29,Baseline failure means the camera/display alignment is not ready.,255,0.000216,baseline,realistic,1.0,0.464208,0.0,0.462779,0,True,29.758,61.0,38.931073,10.0,51.0,18.429796,1,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/baseline/repeat_01,1.0,True,0.0,repeat,"520,420",280,"1180,420",280,
60,V1,12.834,9.802,11,11,0,frequency_based,True,885,baseline,baseline,1,0.983333,1.999526,59,Baseline failure means the camera/display alignment is not ready.,255,0.000474,baseline,realistic,1.0,0.463962,0.0,0.439244,0,True,29.758,93.0,49.993525,10.0,83.0,33.925866,1,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/baseline/repeat_01,2.0,True,0.0,repeat,"520,420",280,"1180,420",280,
30,V0,24.213,12.366,11,11,0,frequency_based,True,884,baseline,baseline,1,0.966667,0.999741,29,Baseline failure means the camera/display alignment is not ready.,255,0.000259,baseline,realistic,1.0,0.467208,0.0,0.461027,0,True,29.723,61.0,38.775475,11.0,50.0,17.942667,2,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/baseline/repeat_02,1.0,True,0.0,repeat,"520,420",280,"1180,420",280,
60,V1,24.213,12.366,11,11,0,frequency_based,True,884,baseline,baseline,1,0.983333,1.999476,59,Baseline failure means the camera/display alignment is not ready.,255,0.000524,baseline,realistic,1.0,0.468733,0.0,0.441932,0,True,29.723,93.0,48.863688,10.0,83.0,34.232781,2,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/baseline/repeat_02,2.0,True,0.0,repeat,"520,420",280,"1180,420",280,
30,V0,16.991,13.792,11,11,0,frequency_based,True,885,baseline,baseline,1,0.966667,0.999799,29,Baseline failure means the camera/display alignment is not ready.,255,0.000201,baseline,realistic,1.0,0.468541,0.0,0.452653,0,True,29.758,61.0,38.794938,18.0,43.0,17.564321,3,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/baseline/repeat_03,1.0,True,0.0,repeat,"520,420",280,"1180,420",280,
60,V1,16.991,13.792,11,11,0,frequency_based,True,885,baseline,baseline,1,0.983333,1.999544,59,Baseline failure means the camera/display alignment is not ready.,255,0.000456,baseline,realistic,1.0,0.467727,0.0,0.422527,0,True,29.758,92.0,48.643503,7.0,85.0,33.192561,3,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/baseline/repeat_03,2.0,True,0.0,repeat,"520,420",280,"1180,420",280,
30,V0,21.302,12.853,11,11,40,frequency_based,True,885,contrast,contrast_medium,1,0.966667,0.999491,29,Failure suggests moderate contrast is not robust enough under current lighting.,180,0.000509,contrast,realistic,1.0,0.468518,0.0,0.399133,40,True,29.749,31.0,22.17948,8.0,23.0,4.634299,1,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/contrast_medium/repeat_01,1.0,True,0.0,repeat,"520,420",280,"1180,420",280,
60,V1,21.302,12.853,11,11,40,frequency_based,True,885,contrast,contrast_medium,1,0.983333,1.998973,59,Failure suggests moderate contrast is not robust enough under current lighting.,180,0.001027,contrast,realistic,1.0,0.468529,0.0,0.441029,40,True,29.749,59.0,32.80339,7.0,52.0,20.812705,1,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/contrast_medium/repeat_01,2.0,True,0.0,repeat,"520,420",280,"1180,420",280,
30,V0,20.579,11.668,11,11,40,frequency_based,True,885,contrast,contrast_medium,1,0.966667,0.999489,29,Failure suggests moderate contrast is not robust enough under current lighting.,180,0.000511,contrast,realistic,1.0,0.472452,0.0,0.407011,40,True,29.749,31.0,22.088136,8.0,23.0,4.74492,2,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/contrast_medium/repeat_02,1.0,True,0.0,repeat,"520,420",280,"1180,420",280,
60,V1,20.579,11.668,11,11,40,frequency_based,True,885,contrast,contrast_medium,1,0.983333,1.998985,59,Failure suggests moderate contrast is not robust enough under current lighting.,180,0.001015,contrast,realistic,1.0,0.477177,0.0,0.439516,40,True,29.749,58.0,32.419017,6.0,52.0,21.174403,2,experiments/logs/step5c1_multi_roi_detection/20260625_152611_contrast_rerun_corrected/conditions/contrast_medium/repeat_02,2.0,True,0.0,repeat,"520,420",280,"1180,420",280,
